Domain,Status,Detail
mileniushomes.com,ACTIVE,Appears in use
milleniusagency.com,ACTIVE,Appears in use
milleniusgroup.com,ACTIVE,Appears in use
mirchigin.com,ACTIVE,Appears in use
misterstroop.com,ACTIVE,Appears in use
mrstroop.com,INACTIVE,"HTTPConnectionPool(host='mrstroop.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000027349ADB550>: Failed to resolve 'mrstroop.com' ([Errno 11002] getaddrinfo failed)""))"
mrstroop.nl,INACTIVE,"HTTPConnectionPool(host='mrstroop.nl', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000027349ADB650>: Failed to resolve 'mrstroop.nl' ([Errno 11002] getaddrinfo failed)""))"
mumbaichocolatefactory.com,ACTIVE,Appears in use
nakefitus.com,ACTIVE,Appears in use
nationalmaintenanceprovider.com,ACTIVE,Appears in use
nationalmaintenanceproviders.com,ACTIVE,Appears in use
nationalserviceproviders.com,ACTIVE,Appears in use
nationalsnowremoval.com,ACTIVE,Appears in use
newyorkchocolatefactory.com,ACTIVE,Appears in use
newyorkcitysnowremovalny.com,ACTIVE,Appears in use
newyorksdesign.com,ACTIVE,Appears in use
newyorksdesignstudio.com,ACTIVE,Appears in use
newyorkwatchclub.com,UNKNOWN,HTTP 409
novusnational.com,ACTIVE,Appears in use
novusscaffolding.com,ACTIVE,Appears in use
novussnowmanagement.com,ACTIVE,Appears in use
NOVUSTRAVELS.COM,ACTIVE,Appears in use
oceanaboating.com,ACTIVE,Appears in use
oceanaislandtours.com,ACTIVE,Appears in use
organicdogsfood.com,ACTIVE,Appears in use
organicpetsfood.com,ACTIVE,Appears in use
parischocolatefactory.com,ACTIVE,Appears in use
perfect4love.com,ACTIVE,Appears in use
perfectvalentinesgift.com,UNKNOWN,HTTP 409
perfectvalentinesgifts.com,ACTIVE,Appears in use
petpoows.com,ACTIVE,Appears in use
petsfoodcomparison.com,ACTIVE,Appears in use
praguechocolatefactory.com,ACTIVE,Appears in use
publiccryptofund.com,ACTIVE,Appears in use
queuepoleandco.com,ACTIVE,Appears in use
queuing-poles.com,ACTIVE,Appears in use
queuingpolecompany.com,ACTIVE,Appears in use
queuingpost.com,ACTIVE,Appears in use
snowremovalbrooklynny.com,ACTIVE,Appears in use
snowremovalcomparison.com,ACTIVE,Appears in use
snowremovalmanhattan.com,ACTIVE,Appears in use
snowremovalnewyorkcity.com,ACTIVE,Appears in use
snowremovalqueensny.com,ACTIVE,Appears in use
snowremovalstatenislandny.com,ACTIVE,Appears in use
storage-comparison.com,ACTIVE,Appears in use
stroopi.com,ACTIVE,Appears in use
stroopie.com,ACTIVE,Appears in use
stroopiestroop.com,ACTIVE,Appears in use
stroopscoop.com,ACTIVE,Appears in use
stroopwafelfactory.com,ACTIVE,Appears in use
stroopwafels.us,ACTIVE,Appears in use
synthetixfund.com,ACTIVE,Appears in use
tapicard.com,ACTIVE,Appears in use
theamericanchocolatefactory.com,ACTIVE,Appears in use
thefaceofluxury.com,ACTIVE,Appears in use
thelovecut.com,ACTIVE,Appears in use
thescaffoldingcompany.com,ACTIVE,Appears in use
topratedarchitecturalfirms.com,ACTIVE,Appears in use
unitedstateschocolatefactory.com,ACTIVE,Appears in use
vanwonderenfries.com,ACTIVE,Appears in use
vanwonderenstroopwafel.com,ACTIVE,Appears in use
vanwonderenstroopwaffles.com,ACTIVE,Appears in use
vanwonderenwaffles.com,ACTIVE,Appears in use
venicechocolatefactory.com,ACTIVE,Appears in use
viennachocolatefactory.com,ACTIVE,Appears in use
wafflesandco.com,ACTIVE,Appears in use
wholesaledubaichocolate.com,ACTIVE,Appears in use
wonderen-stroopwafels.com,ACTIVE,Appears in use
wonderen.co.uk,ACTIVE,Appears in use
wonderen.com,ACTIVE,Appears in use
wonderen.com.co,ACTIVE,Appears in use
wonderenspringwater.com,ACTIVE,Appears in use
wonderenstroopwafel.com,ACTIVE,Appears in use
wonderenstroopwafels.co,ACTIVE,Appears in use
wonderenstroopwafels.co.uk,ACTIVE,Appears in use
wonderenstroopwafels.com,ACTIVE,Appears in use
wonderenstroopwafels.com.co,UNKNOWN,HTTP 404
wonderenstroopwafels.nl,ACTIVE,Appears in use
wonderenstroopwafels.shop,ACTIVE,Appears in use
wonderenwater.com,ACTIVE,Appears in use
wonderstroopwafels.com,UNKNOWN,HTTP 409
wonderstroopwafels.nl,ACTIVE,Appears in use
xlmfund.com,PARKED,Redirected to www.afternic.com
yudhigautam.com,ACTIVE,Appears in use
